datum,produkt,kategorie,region,mnozstvi,cena_za_kus
2026-01-05,Bezdratova mys,Elektronika,Praha,3,499
2026-01-06,Trireko,Obleceni,Brno,2,899
2026-01-07,Kavova sklenice,Domacnost,Ostrava,5,149
2026-01-08,USB kabel,Elektronika,Praha,10,199
2026-01-09,Zimni bunda,Obleceni,Plzen,1,2199
2026-01-10,Hrnec 3l,Domacnost,Brno,2,599
2026-01-12,Bluetooth reproduktor,Elektronika,Ostrava,4,1290
2026-01-13,Triko basic,Obleceni,Praha,6,299
2026-01-14,Prosle mleko,Potraviny,Brno,20,24
2026-01-15,Klavesnice,Elektronika,Praha,2,799
2026-01-16,Kava mleta,Potraviny,Plzen,15,89
2026-01-17,Sada nadobi,Domacnost,Ostrava,1,1499
2026-01-19,Slusivky,Obleceni,Praha,3,1599
2026-01-20,Powerbanka,Elektronika,Brno,5,599
2026-01-21,Testoviny,Potraviny,Plzen,25,19
2026-01-22,Deka,Domacnost,Praha,2,349
2026-01-23,Sluchatka,Elektronika,Ostrava,7,899
2026-01-24,Mikina,Obleceni,Brno,4,749
2026-01-26,Olivovy olej,Potraviny,Praha,10,169
2026-01-27,Zarovka LED,Elektronika,Plzen,12,79
2026-01-28,Ponozky 3ks,Obleceni,Ostrava,8,199
2026-01-29,Konvice,Domacnost,Brno,3,449
2026-01-30,Cokolada,Potraviny,Praha,30,39
2026-02-02,Monitor 24",Elektronika,Praha,1,3499
2026-02-03,Rifle,Obleceni,Plzen,3,1299
2026-02-04,Vino cervene,Potraviny,Brno,6,199
2026-02-05,Zidle kancelarska,Domacnost,Ostrava,2,2499
2026-02-06,Nabijecka telefonu,Elektronika,Praha,9,299
2026-02-07,Kosile,Obleceni,Praha,5,699
2026-02-09,Cesty,Potraviny,Plzen,18,29
2026-02-10,Vysavac,Domacnost,Brno,1,3299
2026-02-11,Herni mys,Elektronika,Ostrava,3,1190
2026-02-12,Saty letni,Obleceni,Brno,2,1099
